code,current,name,gender,function,category,country_code,country,country_long,disciplines,events,birth_date
1942626,TRUE,DENIA Santi,Male,Head Coach,C,ESP,Spain,Spain,Football,Men,09-03-1974
1942627,TRUE,GORDO David,Male,Assistant Coach,C,ESP,Spain,Spain,Football,,02-02-1970
1942638,TRUE,MARTINEZ Ruben,Male,Goalkeeper Coach,C,ESP,Spain,Spain,Football,,
1942803,TRUE,ZIMMERMANN Matthieu,Male,Coach,C,BEL,Belgium,Belgium,Artistic Gymnastics,,22-02-1986
1942804,TRUE,EHREN Raoul,Male,Head Coach,C,BEL,Belgium,Belgium,Hockey,,24-04-1973
1942806,TRUE,McLEOD Shane,Male,Assistant Coach,C,BEL,Belgium,Belgium,Hockey,Men,04-09-1968
1942816,TRUE,GAMBLUCH Leonardo,Male,Coach,C,BEL,Belgium,Belgium,Taekwondo,,03-09-1973
1942828,TRUE,VARGA Zsolt,Male,Head Coach,C,HUN,Hungary,Hungary,Water Polo,Men,09-03-1972
1942869,TRUE,UGLESSICH Mariano,Male,Assistant Coach,C,PAR,Paraguay,Paraguay,Football,,
1943302,TRUE,HAYES Emma,Female,Head Coach,C,USA,United States,United States of America,Football,Women,18-10-1976
1943308,TRUE,REDDY Denise,Female,Assistant Coach,C,USA,United States,United States of America,Football,Women,14-09-1970
1943311,TRUE,SEARLE Stuart,Male,Goalkeeper Coach,C,USA,United States,United States of America,Football,Women,27-02-1979
1943842,TRUE,JARA SAGUIER Carlos,Male,Head Coach,C,PAR,Paraguay,Paraguay,Football,Men,01-11-1950
1944188,TRUE,COVELO Alex,Male,Assistant Coach,C,USA,United States,United States of America,Football,Men,19-05-1978
1944189,TRUE,MITROVIC Marko,Male,Head Coach,C,USA,United States,United States of America,Football,Men,08-07-1978
1944190,TRUE,PAYNE Russell,Male,Goalkeeper Coach,C,USA,United States,United States of America,Football,Men,03-07-1975
1944191,TRUE,SEGARES Gonzalo,Male,Assistant Coach,C,USA,United States,United States of America,Football,Men,13-10-1982
1944971,TRUE,MAYNE Michael,Male,Head Coach,C,NZL,New Zealand,New Zealand,Football,Women,15-02-1985
1944972,TRUE,REED Duncan,Male,Goalkeeper Coach,C,NZL,New Zealand,New Zealand,Football,,25-11-1990
1944973,TRUE,BAZELEY Darren,Male,Head Coach,C,NZL,New Zealand,New Zealand,Football,Men,05-10-1972
1944974,TRUE,GOTHARD Paul,Male,Goalkeeper Coach,C,NZL,New Zealand,New Zealand,Football,Men,24-06-1974
1944977,TRUE,READINGS Tony,Male,Assistant Coach,C,NZL,New Zealand,New Zealand,Football,Men,27-10-1975
1944979,TRUE,ELLIOTT Simon,Male,Assistant Coach,C,NZL,New Zealand,New Zealand,Football,Men,10-06-1974
1945000,TRUE,SARVER Keri,Female,Assistant Coach,C,NZL,New Zealand,New Zealand,Football,,30-03-1976
1945433,TRUE,POTTER Anthony,Male,Assistant Coach,C,AUS,Australia,Australia,Hockey,,11-05-1972
1945439,TRUE,BATCH Colin,Male,Head Coach,C,AUS,Australia,Australia,Hockey,,27-03-1958
1945443,TRUE,STANIFORTH Dave,Male,Coach,C,AUS,Australia,Australia,Hockey,,05-04-1976
1945447,TRUE,MURRAY Emma,Female,Assistant Coach,C,AUS,Australia,Australia,Hockey,Women,
1945451,TRUE,PURVIS Hugh,Male,Assistant Coach,C,AUS,Australia,Australia,Hockey,,03-08-1991
1945457,TRUE,DAVY Jeremy,Male,Coach,C,AUS,Australia,Australia,Hockey,,03-07-1973
